date,open,high,low,close,change
2009-07-16,1459.2,1462.7,1457.3,1457.9,0.0
2009-07-17,1460.8,1460.8,1460.8,1460.8,0.2
2009-07-20,1461.8,1461.8,1461.8,1461.8,0.07
2009-07-21,1463.0,1463.0,1463.0,1463.0,0.08
2009-07-22,1463.4,1463.6,1463.4,1463.6,0.04
2009-07-23,1463.0,1463.0,1463.0,1463.0,-0.04
2009-07-24,1470.0,1470.2,1463.0,1463.0,0.0
2009-07-27,1463.1,1463.1,1463.1,1463.1,0.01
2009-07-28,1464.5,1464.5,1464.5,1464.5,0.1
2009-07-29,1476.8,1476.8,1464.3,1464.3,-0.01
2009-07-30,1464.6,1464.6,1464.6,1464.6,0.02
2009-07-31,1462.3,1465.0,1462.3,1465.0,0.03
2009-08-03,1464.2,1464.2,1464.2,1464.2,-0.05
2009-08-04,1464.5,1464.5,1464.5,1464.5,0.02
2009-08-05,1464.3,1464.3,1464.3,1464.3,-0.01
2009-08-06,1465.0,1466.6,1465.0,1466.6,0.16
2009-08-07,1466.9,1466.9,1466.9,1466.9,0.02
2009-08-10,1466.3,1466.3,1466.3,1466.3,-0.04
2009-08-11,1467.5,1467.5,1466.0,1466.0,-0.02
2009-08-12,1469.3,1469.3,1467.1,1467.1,0.08
2009-08-13,1461.7,1467.4,1461.7,1467.4,0.02
2009-08-14,1465.6,1465.6,1465.6,1465.6,-0.12
2009-08-17,1467.3,1467.3,1467.3,1467.3,0.12
2009-08-18,1469.0,1469.0,1468.8,1468.8,0.1
2009-08-19,1463.5,1468.2,1455.2,1455.2,-0.93
2009-08-20,1456.4,1469.7,1456.4,1469.7,1.0
2009-08-21,1468.9,1468.9,1468.9,1468.9,-0.05
2009-08-24,1468.6,1470.0,1468.6,1470.0,0.07
2009-08-25,1468.1,1468.1,1468.1,1468.1,-0.13
2009-08-26,1468.1,1469.5,1468.0,1469.5,0.1
2009-08-27,1475.2,1475.2,1469.4,1469.4,-0.01
2009-08-28,1475.4,1475.4,1475.4,1475.4,0.41
2009-08-31,1469.5,1469.5,1469.5,1469.5,-0.4
2009-09-01,1463.5,1468.6,1463.5,1468.6,-0.06
2009-09-02,1470.9,1470.9,1470.9,1470.9,0.16
2009-09-03,1470.9,1470.9,1470.9,1470.9,0.0
2009-09-04,1469.8,1469.8,1469.8,1469.8,-0.07
2009-09-07,1462.7,1470.9,1462.7,1470.9,0.07
2009-09-08,1472.2,1472.2,1472.2,1472.2,0.09
2009-09-09,1472.9,1472.9,1472.9,1472.9,0.05
2009-09-10,1472.5,1472.5,1467.9,1468.3,-0.31
2009-09-11,1472.3,1472.3,1472.3,1472.3,0.27
2009-09-14,1472.2,1472.2,1472.2,1472.2,-0.01
2009-09-15,1473.4,1473.4,1468.3,1472.7,0.03
2009-09-16,1473.1,1473.1,1473.1,1473.1,0.03
2009-09-17,1473.2,1473.2,1471.9,1472.7,-0.03
2009-09-18,1473.1,1473.1,1473.0,1473.0,0.02
2009-09-21,1473.1,1473.1,1471.1,1471.1,-0.13
2009-09-22,1474.6,1474.6,1474.6,1474.6,0.24
2009-09-23,1474.5,1474.6,1474.1,1474.1,-0.03
2009-09-24,1474.1,1485.4,1474.1,1485.4,0.77
2009-09-25,1474.8,1475.3,1474.4,1475.3,-0.68
2009-09-28,1474.0,1474.8,1474.0,1474.8,-0.03
2009-09-29,1474.4,1474.6,1471.3,1474.6,-0.01
2009-09-30,1475.5,1475.5,1475.5,1475.5,0.06
2009-10-01,1475.5,1476.8,1474.5,1476.8,0.09
2009-10-02,1469.6,1469.6,1469.6,1469.6,-0.49
2009-10-05,1475.4,1475.4,1475.4,1475.4,0.39
2009-10-06,1471.5,1475.3,1471.5,1475.2,-0.01
2009-10-07,1477.0,1477.0,1477.0,1477.0,0.12
